date,year,week,year_week,month,year_month,day,weekday,weekday_name,hour,n_calls_in_week,share_calls,est_n_calls
2021-10-12,2021,41,2021 W41,10,2021 M10,12,1,Tue,20,11955.899936302148,0.0014285993536280234,17.080190921042576
2021-10-19,2021,42,2021 W42,10,2021 M10,19,1,Tue,20,11404.128472346118,0.0014285993536280234,16.291930564284602
2021-10-26,2021,43,2021 W43,10,2021 M10,26,1,Tue,20,10825.005025247476,0.0014285993536280234,15.46459518208865
2021-11-02,2021,44,2021 W44,11,2021 M11,2,1,Tue,20,10225.022632288443,0.0014285993536280234,14.60746072331918
2021-11-09,2021,45,2021 W45,11,2021 M11,9,1,Tue,20,9611.52386197302,0.0014285993536280234,13.73101677659498
2021-11-16,2021,46,2021 W46,11,2021 M11,16,1,Tue,20,8992.734346200836,0.0014285993536280234,12.84701447433104
2021-11-23,2021,47,2021 W47,11,2021 M11,23,1,Tue,20,8377.796312441054,0.0014285993536280234,11.968514396780527
2021-11-30,2021,48,2021 W48,11,2021 M11,30,1,Tue,20,7776.802115906185,0.0014285993536280234,11.109934476076619
2021-12-07,2021,49,2021 W49,12,2021 M12,7,1,Tue,20,7200.827771725955,0.0014285993536280234,10.28709790027442
2021-12-14,2021,50,2021 W50,12,2021 M12,14,1,Tue,20,6661.966487121259,0.0014285993536280234,9.517281017392984
2021-12-21,2021,51,2021 W51,12,2021 M12,21,1,Tue,20,6173.36219357787,0.0014285993536280234,8.819261239457022
2021-12-28,2021,52,2021 W52,12,2021 M12,28,1,Tue,20,5749.243079020458,0.0014285993536280234,8.213364946539013
2021-03-30,2021,13,2021 W13,3,2021 M 3,30,1,Tue,21,9916.789254223993,0.0006727611551292744,6.671630593845309
2021-04-06,2021,14,2021 W14,4,2021 M 4,6,1,Tue,21,10373.039545103224,0.0006727611551292744,6.978578066565287
2021-04-13,2021,15,2021 W15,4,2021 M 4,13,1,Tue,21,10828.901859085996,0.0006727611551292744,7.285264523500241
2021-04-20,2021,16,2021 W16,4,2021 M 4,20,1,Tue,21,11280.696421834047,0.0006727611551292744,7.589214355415746
2021-04-27,2021,17,2021 W17,4,2021 M 4,27,1,Tue,21,11724.654089362664,0.0006727611551292744,7.887891828650797
2021-05-04,2021,18,2021 W18,5,2021 M 5,4,1,Tue,21,12156.94988021456,0.0006727611551292744,8.178723644261842
2021-05-11,2021,19,2021 W19,5,2021 M 5,11,1,Tue,21,12573.736507633728,0.0006727611551292744,8.459121497166795
2021-05-18,2021,20,2021 W20,5,2021 M 5,18,1,Tue,21,12971.17791173931,0.0006727611551292744,8.726504635289068
2021-05-25,2021,21,2021 W21,5,2021 M 5,25,1,Tue,21,13345.482791699462,0.0006727611551292744,8.978322418701582
2021-06-01,2021,22,2021 W22,6,2021 M 6,1,1,Tue,21,13692.938137905221,0.0006727611551292744,9.212076878770812
2021-06-08,2021,23,2021 W23,6,2021 M 6,8,1,Tue,21,14009.942764144365,0.0006727611551292744,9.425345277300782
2021-06-15,2021,24,2021 W24,6,2021 M 6,15,1,Tue,21,14293.040839775287,0.0006727611551292744,9.615802665677116
2021-06-22,2021,25,2021 W25,6,2021 M 6,22,1,Tue,21,14538.955421900844,0.0006727611551292744,9.781244444011039
2021-06-29,2021,26,2021 W26,6,2021 M 6,29,1,Tue,21,14744.621987542245,0.0006727611551292744,9.919608920283418
2021-07-06,2021,27,2021 W27,7,2021 M 7,6,1,Tue,21,14907.221965812892,0.0006727611551292744,10.028999869488773
2021-07-13,2021,28,2021 W28,7,2021 M 7,13,1,Tue,21,15024.21627009226,0.0006727611551292744,10.107709092779306
2021-07-20,2021,29,2021 W29,7,2021 M 7,20,1,Tue,21,15093.378830199763,0.0006727611551292744,10.154238976608928
2021-07-27,2021,30,2021 W30,7,2021 M 7,27,1,Tue,21,15112.830124568613,0.0006727611551292744,10.167325051877276
2021-08-03,2021,31,2021 W31,8,2021 M 8,3,1,Tue,21,15081.070712419678,0.0006727611551292744,10.145958553073731
2021-08-10,2021,32,2021 W32,8,2021 M 8,10,1,Tue,21,14997.014765935355,0.0006727611551292744,10.089408977421453
2021-08-17,2021,33,2021 W33,8,2021 M 8,17,1,Tue,21,14860.023602433455,0.0006727611551292744,9.997246644021413
2021-08-24,2021,34,2021 W34,8,2021 M 8,24,1,Tue,21,14669.939216541028,0.0006727611551292744,9.869365252996385
2021-08-31,2021,35,2021 W35,8,2021 M 8,31,1,Tue,21,14427.117812368251,0.0006727611551292744,9.706004444634994
2021-09-07,2021,36,2021 W36,9,2021 M 9,7,1,Tue,21,14132.463335682305,0.0006727611551292744,9.507772358535746
2021-09-14,2021,37,2021 W37,9,2021 M 9,14,1,Tue,21,13787.461006081203,0.0006727611551292744,9.275668192751017
2021-09-21,2021,38,2021 W38,9,2021 M 9,21,1,Tue,21,13394.2108491677,0.0006727611551292744,9.01110476293112
2021-09-28,2021,39,2021 W39,9,2021 M 9,28,1,Tue,21,12955.461228723118,0.0006727611551292744,8.715931061468293
2021-10-05,2021,40,2021 W40,10,2021 M10,5,1,Tue,21,12474.64237888123,0.0006727611551292744,8.392454816640734
2021-10-12,2021,41,2021 W41,10,2021 M10,12,1,Tue,21,11955.899936302148,0.0006727611551292744,8.043465051756652
2021-10-19,2021,42,2021 W42,10,2021 M10,19,1,Tue,21,11404.128472346118,0.0006727611551292744,7.672254644298221
2021-10-26,2021,43,2021 W43,10,2021 M10,26,1,Tue,21,10825.005025247476,0.0006727611551292744,7.282642885065691
2021-11-02,2021,44,2021 W44,11,2021 M11,2,1,Tue,21,10225.022632288443,0.0006727611551292744,6.878998037321346
2021-11-09,2021,45,2021 W45,11,2021 M11,9,1,Tue,21,9611.52386197302,0.0006727611551292744,6.466259895933554
2021-11-16,2021,46,2021 W46,11,2021 M11,16,1,Tue,21,8992.734346200836,0.0006727611551292744,6.049962346520774
2021-11-23,2021,47,2021 W47,11,2021 M11,23,1,Tue,21,8377.796312441054,0.0006727611551292744,5.636255924595619
2021-11-30,2021,48,2021 W48,11,2021 M11,30,1,Tue,21,7776.802115906185,0.0006727611551292744,5.2319303747088295
2021-12-07,2021,49,2021 W49,12,2021 M12,7,1,Tue,21,7200.827771725955,0.0006727611551292744,4.844437209593313
2021-12-14,2021,50,2021 W50,12,2021 M12,14,1,Tue,21,6661.966487121259,0.0006727611551292744,4.4819122693082125
2021-12-21,2021,51,2021 W51,12,2021 M12,21,1,Tue,21,6173.36219357787,0.0006727611551292744,4.153198280382839
2021-12-28,2021,52,2021 W52,12,2021 M12,28,1,Tue,21,5749.243079020458,0.0006727611551292744,3.8678674149607892
2021-03-30,2021,13,2021 W13,3,2021 M 3,30,1,Tue,22,9916.789254223993,1.3031693077564637e-05,0.12923255387593818
2021-04-06,2021,14,2021 W14,4,2021 M 4,6,1,Tue,22,10373.039545103224,1.3031693077564637e-05,0.1351782676332259
2021-04-13,2021,15,2021 W15,4,2021 M 4,13,1,Tue,22,10828.901859085996,1.3031693077564637e-05,0.1411189253946778
2021-04-20,2021,16,2021 W16,4,2021 M 4,20,1,Tue,22,11280.696421834047,1.3031693077564637e-05,0.14700657347052293
2021-04-27,2021,17,2021 W17,4,2021 M 4,27,1,Tue,22,11724.654089362664,1.3031693077564637e-05,0.15279209353318735
2021-05-04,2021,18,2021 W18,5,2021 M 5,4,1,Tue,22,12156.94988021456,1.3031693077564637e-05,0.15842563959829234
2021-05-11,2021,19,2021 W19,5,2021 M 5,11,1,Tue,22,12573.736507633728,1.3031693077564637e-05,0.16385707500565222
2021-05-18,2021,20,2021 W20,5,2021 M 5,18,1,Tue,22,12971.17791173931,1.3031693077564637e-05,0.1690364094002725
2021-05-25,2021,21,2021 W21,5,2021 M 5,25,1,Tue,22,13345.482791699462,1.3031693077564637e-05,0.17391423571334785
2021-06-01,2021,22,2021 W22,6,2021 M 6,1,1,Tue,22,13692.938137905221,1.3031693077564637e-05,0.17844216714326028
2021-06-08,2021,23,2021 W23,6,2021 M 6,8,1,Tue,22,14009.942764144365,1.3031693077564637e-05,0.1825732741365769
2021-06-15,2021,24,2021 W24,6,2021 M 6,15,1,Tue,22,14293.040839775287,1.3031693077564637e-05,0.18626252136904825
2021-06-22,2021,25,2021 W25,6,2021 M 6,22,1,Tue,22,14538.955421900844,1.3031693077564637e-05,0.18946720472660608
2021-06-29,2021,26,2021 W26,6,2021 M 6,29,1,Tue,22,14744.621987542245,1.3031693077564637e-05,0.1921473882863616
2021-07-06,2021,27,2021 W27,7,2021 M 7,6,1,Tue,22,14907.221965812892,1.3031693077564637e-05,0.19426634129760337
2021-07-13,2021,28,2021 W28,7,2021 M 7,13,1,Tue,22,15024.21627009226,1.3031693077564637e-05,0.19579097516279528
2021-07-20,2021,29,2021 W29,7,2021 M 7,20,1,Tue,22,15093.378830199763,1.3031693077564637e-05,0.1966922804185749
2021-07-27,2021,30,2021 W30,7,2021 M 7,27,1,Tue,22,15112.830124568613,1.3031693077564637e-05,0.1969457637167511
2021-08-03,2021,31,2021 W31,8,2021 M 8,3,1,Tue,22,15081.070712419678,1.3031693077564637e-05,0.1965318848053023
2021-08-10,2021,32,2021 W32,8,2021 M 8,10,1,Tue,22,14997.014765935355,1.3031693077564637e-05,0.19543649350937442
2021-08-17,2021,33,2021 W33,8,2021 M 8,17,1,Tue,22,14860.023602433455,1.3031693077564637e-05,0.19365126671227917
2021-08-24,2021,34,2021 W34,8,2021 M 8,24,1,Tue,22,14669.939216541028,1.3031693077564637e-05,0.1911741453364917
2021-08-31,2021,35,2021 W35,8,2021 M 8,31,1,Tue,22,14427.117812368251,1.3031693077564637e-05,0.1880097713246488
2021-09-07,2021,36,2021 W36,9,2021 M 9,7,1,Tue,22,14132.463335682305,1.3031693077564637e-05,0.18416992462054713
2021-09-14,2021,37,2021 W37,9,2021 M 9,14,1,Tue,22,13787.461006081203,1.3031693077564637e-05,0.17967396015014078
2021-09-21,2021,38,2021 W38,9,2021 M 9,21,1,Tue,22,13394.2108491677,1.3031693077564637e-05,0.1745492448025399
2021-09-28,2021,39,2021 W39,9,2021 M 9,28,1,Tue,22,12955.461228723118,1.3031693077564637e-05,0.1688315944110081
2021-10-05,2021,40,2021 W40,10,2021 M10,5,1,Tue,22,12474.64237888123,1.3031693077564637e-05,0.16256571073396098
2021-10-12,2021,41,2021 W41,10,2021 M10,12,1,Tue,22,11955.899936302148,1.3031693077564637e-05,0.1558056184359642
2021-10-19,2021,42,2021 W42,10,2021 M10,19,1,Tue,22,11404.128472346118,1.3031693077564637e-05,0.1486151020687307
2021-10-26,2021,43,2021 W43,10,2021 M10,26,1,Tue,22,10825.005025247476,1.3031693077564637e-05,0.14106814305211993
2021-11-02,2021,44,2021 W44,11,2021 M11,2,1,Tue,22,10225.022632288443,1.3031693077564637e-05,0.13324935665513504
2021-11-09,2021,45,2021 W45,11,2021 M11,9,1,Tue,22,9611.52386197302,1.3031693077564637e-05,0.12525442897692113
2021-11-16,2021,46,2021 W46,11,2021 M11,16,1,Tue,22,8992.734346200836,1.3031693077564637e-05,0.11719055392776317
2021-11-23,2021,47,2021 W47,11,2021 M11,23,1,Tue,22,8377.796312441054,1.3031693077564637e-05,0.10917687021008463
2021-11-30,2021,48,2021 W48,11,2021 M11,30,1,Tue,22,7776.802115906185,1.3031693077564637e-05,0.10134489829944464
2021-12-07,2021,49,2021 W49,12,2021 M12,7,1,Tue,22,7200.827771725955,1.3031693077564637e-05,0.09383897742553632
2021-12-14,2021,50,2021 W50,12,2021 M12,14,1,Tue,22,6661.966487121259,1.3031693077564637e-05,0.08681670255318572
2021-12-21,2021,51,2021 W51,12,2021 M12,21,1,Tue,22,6173.36219357787,1.3031693077564637e-05,0.08044936136334797
2021-12-28,2021,52,2021 W52,12,2021 M12,28,1,Tue,22,5749.243079020458,1.3031693077564637e-05,0.0749223712341073
2021-03-30,2021,13,2021 W13,3,2021 M 3,30,1,Tue,23,9916.789254223993,4.886884904086739e-06,0.04846220770347682
2021-04-06,2021,14,2021 W14,4,2021 M 4,6,1,Tue,23,10373.039545103224,4.886884904086739e-06,0.05069185036245972
2021-04-13,2021,15,2021 W15,4,2021 M 4,13,1,Tue,23,10828.901859085996,4.886884904086739e-06,0.052919597023004174
2021-04-20,2021,16,2021 W16,4,2021 M 4,20,1,Tue,23,11280.696421834047,4.886884904086739e-06,0.0551274650514461
2021-04-27,2021,17,2021 W17,4,2021 M 4,27,1,Tue,23,11724.654089362664,4.886884904086739e-06,0.057297035074945254
2021-05-04,2021,18,2021 W18,5,2021 M 5,4,1,Tue,23,12156.94988021456,4.886884904086739e-06,0.059409614849359624
2021-05-11,2021,19,2021 W19,5,2021 M 5,11,1,Tue,23,12573.736507633728,4.886884904086739e-06,0.061446403127119575
2021-05-18,2021,20,2021 W20,5,2021 M 5,18,1,Tue,23,12971.17791173931,4.886884904086739e-06,0.06338865352510219
2021-05-25,2021,21,2021 W21,5,2021 M 5,25,1,Tue,23,13345.482791699462,4.886884904086739e-06,0.06521783839250545
2021-06-01,2021,22,2021 W22,6,2021 M 6,1,1,Tue,23,13692.938137905221,4.886884904086739e-06,0.0669158126787226
2021-06-08,2021,23,2021 W23,6,2021 M 6,8,1,Tue,23,14009.942764144365,4.886884904086739e-06,0.06846497780121634
2021-06-15,2021,24,2021 W24,6,2021 M 6,15,1,Tue,23,14293.040839775287,4.886884904086739e-06,0.0698484455133931
2021-06-22,2021,25,2021 W25,6,2021 M 6,22,1,Tue,23,14538.955421900844,4.886884904086739e-06,0.07105020177247728
2021-06-29,2021,26,2021 W26,6,2021 M 6,29,1,Tue,23,14744.621987542245,4.886884904086739e-06,0.0720552706073856
2021-07-06,2021,27,2021 W27,7,2021 M 7,6,1,Tue,23,14907.221965812892,4.886884904086739e-06,0.07284987798660127
2021-07-13,2021,28,2021 W28,7,2021 M 7,13,1,Tue,23,15024.21627009226,4.886884904086739e-06,0.07342161568604823
2021-07-20,2021,29,2021 W29,7,2021 M 7,20,1,Tue,23,15093.378830199763,4.886884904086739e-06,0.07375960515696559
2021-07-27,2021,30,2021 W30,7,2021 M 7,27,1,Tue,23,15112.830124568613,4.886884904086739e-06,0.07385466139378166
2021-08-03,2021,31,2021 W31,8,2021 M 8,3,1,Tue,23,15081.070712419678,4.886884904086739e-06,0.07369945680198836
2021-08-10,2021,32,2021 W32,8,2021 M 8,10,1,Tue,23,14997.014765935355,4.886884904086739e-06,0.07328868506601541
2021-08-17,2021,33,2021 W33,8,2021 M 8,17,1,Tue,23,14860.023602433455,4.886884904086739e-06,0.07261922501710469
2021-08-24,2021,34,2021 W34,8,2021 M 8,24,1,Tue,23,14669.939216541028,4.886884904086739e-06,0.0716903045011844
2021-08-31,2021,35,2021 W35,8,2021 M 8,31,1,Tue,23,14427.117812368251,4.886884904086739e-06,0.0705036642467433
2021-09-07,2021,36,2021 W36,9,2021 M 9,7,1,Tue,23,14132.463335682305,4.886884904086739e-06,0.06906372173270517
2021-09-14,2021,37,2021 W37,9,2021 M 9,14,1,Tue,23,13787.461006081203,4.886884904086739e-06,0.06737773505630279
2021-09-21,2021,38,2021 W38,9,2021 M 9,21,1,Tue,23,13394.2108491677,4.886884904086739e-06,0.06545596680095246
2021-09-28,2021,39,2021 W39,9,2021 M 9,28,1,Tue,23,12955.461228723118,4.886884904086739e-06,0.06331184790412804
2021-10-05,2021,40,2021 W40,10,2021 M10,5,1,Tue,23,12474.64237888123,4.886884904086739e-06,0.06096214152523537
2021-10-12,2021,41,2021 W41,10,2021 M10,12,1,Tue,23,11955.899936302148,4.886884904086739e-06,0.05842710691348657
2021-10-19,2021,42,2021 W42,10,2021 M10,19,1,Tue,23,11404.128472346118,4.886884904086739e-06,0.055730663275774
2021-10-26,2021,43,2021 W43,10,2021 M10,26,1,Tue,23,10825.005025247476,4.886884904086739e-06,0.052900553644544976
2021-11-02,2021,44,2021 W44,11,2021 M11,2,1,Tue,23,10225.022632288443,4.886884904086739e-06,0.04996850874567564
2021-11-09,2021,45,2021 W45,11,2021 M11,9,1,Tue,23,9611.52386197302,4.886884904086739e-06,0.04697041086634542
2021-11-16,2021,46,2021 W46,11,2021 M11,16,1,Tue,23,8992.734346200836,4.886884904086739e-06,0.04394645772291119
2021-11-23,2021,47,2021 W47,11,2021 M11,23,1,Tue,23,8377.796312441054,4.886884904086739e-06,0.04094132632878174
2021-11-30,2021,48,2021 W48,11,2021 M11,30,1,Tue,23,7776.802115906185,4.886884904086739e-06,0.038004336862291745
2021-12-07,2021,49,2021 W49,12,2021 M12,7,1,Tue,23,7200.827771725955,4.886884904086739e-06,0.03518961653457612
2021-12-14,2021,50,2021 W50,12,2021 M12,14,1,Tue,23,6661.966487121259,4.886884904086739e-06,0.03255626345744464
2021-12-21,2021,51,2021 W51,12,2021 M12,21,1,Tue,23,6173.36219357787,4.886884904086739e-06,0.03016851051125549
2021-12-28,2021,52,2021 W52,12,2021 M12,28,1,Tue,23,5749.243079020458,4.886884904086739e-06,0.02809588921279024
2021-03-31,2021,13,2021 W13,3,2021 M 3,31,2,Wed,0,9916.789254223993,1.6289616346955796e-06,0.016154069234492273
2021-04-07,2021,14,2021 W14,4,2021 M 4,7,2,Wed,0,10373.039545103224,1.6289616346955796e-06,0.01689728345415324
2021-04-14,2021,15,2021 W15,4,2021 M 4,14,2,Wed,0,10828.901859085996,1.6289616346955796e-06,0.017639865674334725
2021-04-21,2021,16,2021 W16,4,2021 M 4,21,2,Wed,0,11280.696421834047,1.6289616346955796e-06,0.018375821683815366
2021-04-28,2021,17,2021 W17,4,2021 M 4,28,2,Wed,0,11724.654089362664,1.6289616346955796e-06,0.019099011691648418
2021-05-05,2021,18,2021 W18,5,2021 M 5,5,2,Wed,0,12156.94988021456,1.6289616346955796e-06,0.019803204949786542
2021-05-12,2021,19,2021 W19,5,2021 M 5,12,2,Wed,0,12573.736507633728,1.6289616346955796e-06,0.020482134375706527
2021-05-19,2021,20,2021 W20,5,2021 M 5,19,2,Wed,0,12971.17791173931,1.6289616346955796e-06,0.021129551175034064
2021-05-26,2021,21,2021 W21,5,2021 M 5,26,2,Wed,0,13345.482791699462,1.6289616346955796e-06,0.02173927946416848
2021-06-02,2021,22,2021 W22,6,2021 M 6,2,2,Wed,0,13692.938137905221,1.6289616346955796e-06,0.022305270892907535
2021-06-09,2021,23,2021 W23,6,2021 M 6,9,2,Wed,0,14009.942764144365,1.6289616346955796e-06,0.022821659267072112
2021-06-16,2021,24,2021 W24,6,2021 M 6,16,2,Wed,0,14293.040839775287,1.6289616346955796e-06,0.02328281517113103
2021-06-23,2021,25,2021 W25,6,2021 M 6,23,2,Wed,0,14538.955421900844,1.6289616346955796e-06,0.02368340059082576
2021-06-30,2021,26,2021 W26,6,2021 M 6,30,2,Wed,0,14744.621987542245,1.6289616346955796e-06,0.0240184235357952
2021-07-07,2021,27,2021 W27,7,2021 M 7,7,2,Wed,0,14907.221965812892,1.6289616346955796e-06,0.02428329266220042
2021-07-14,2021,28,2021 W28,7,2021 M 7,14,2,Wed,0,15024.21627009226,1.6289616346955796e-06,0.02447387189534941
2021-07-21,2021,29,2021 W29,7,2021 M 7,21,2,Wed,0,15093.378830199763,1.6289616346955796e-06,0.024586535052321862
2021-07-28,2021,30,2021 W30,7,2021 M 7,28,2,Wed,0,15112.830124568613,1.6289616346955796e-06,0.024618220464593887
2021-08-04,2021,31,2021 W31,8,2021 M 8,4,2,Wed,0,15081.070712419678,1.6289616346955796e-06,0.024566485600662786
2021-08-11,2021,32,2021 W32,8,2021 M 8,11,2,Wed,0,14997.014765935355,1.6289616346955796e-06,0.024429561688671803
2021-08-18,2021,33,2021 W33,8,2021 M 8,18,2,Wed,0,14860.023602433455,1.6289616346955796e-06,0.024206408339034896
2021-08-25,2021,34,2021 W34,8,2021 M 8,25,2,Wed,0,14669.939216541028,1.6289616346955796e-06,0.023896768167061464
2021-09-01,2021,35,2021 W35,9,2021 M 9,1,2,Wed,0,14427.117812368251,1.6289616346955796e-06,0.0235012214155811
2021-09-08,2021,36,2021 W36,9,2021 M 9,8,2,Wed,0,14132.463335682305,1.6289616346955796e-06,0.02302124057756839
